step,herbivores,predators,resource_biomass,resource_fraction,mean_herbivore_energy,mean_predator_energy,mean_herbivore_speed,mean_predator_speed,herbivore_births,predator_births,herbivore_deaths,predator_deaths,kills
0,90,18,69759.4570427102,0.6342699112238388,54.0,72.0,1.7370299685869548,2.0712331876248093,0,0,0,0,0
1,87,18,71223.9562260357,0.6475854931732014,55.84462412066496,79.07777581455667,1.7406902278192116,2.0712331876248093,0,0,3,0,3
2,85,18,72694.86699945615,0.6609593708555402,57.655819062089634,83.49585872001512,1.7427222801412303,2.0712331876248093,0,0,2,0,2
3,82,18,74162.8031221719,0.6743062022918448,59.51143659085512,90.38034033124735,1.745095139059313,2.0712331876248093,0,0,3,0,3
4,82,18,75625.4040527214,0.687604524866339,61.33954088910019,89.13831501817202,1.745095139059313,2.0712331876248093,0,0,0,0,0
5,80,18,77065.48867337526,0.7006981236874668,63.16422768846072,93.31066527847618,1.7446495778684254,2.0712331876248093,0,0,2,0,2
6,77,18,78489.8138755858,0.7136484340519359,65.04575355780216,100.15673431680797,1.7441856289203497,2.0712331876248093,0,0,3,0,3
7,74,18,79901.6615012793,0.7264852952629105,66.93934340986587,107.27576167873065,1.7478895922816173,2.0712331876248093,0,0,3,0,3
8,73,18,81291.62593544947,0.7391231891863915,68.89564571965688,108.89497475630147,1.7484307639486099,2.0712331876248093,0,0,1,0,1
9,72,18,82649.27767096732,0.751467288212744,70.85173300057107,110.5024989010052,1.750929735391669,2.0712331876248093,0,0,1,0,1
10,71,18,83974.7836890907,0.7635191105760839,72.80961990582048,112.02112740976528,1.7497064566055227,2.0712331876248093,0,0,1,0,1
11,69,18,85265.75847562801,0.7752569666025134,74.81569301489152,116.24305499161395,1.7490572135856566,2.0712331876248093,0,0,2,0,2
12,69,18,86522.6923467869,0.7866853143659727,76.76072952124015,115.01374630926365,1.7490572135856566,2.0712331876248093,0,0,0,0,0
13,67,18,87737.34375549428,0.7977292197205836,78.87585748186208,119.18406939492928,1.750027081646294,2.0712331876248093,0,0,2,0,2
14,66,18,88914.95494773267,0.8084363464388999,80.83809558640974,120.60392914834812,1.7501734660603998,2.0712331876248093,0,0,1,0,1
15,64,18,90048.38183354915,0.8187417387214888,82.80606966658368,124.6290802207556,1.748117842929673,2.0712331876248093,0,0,2,0,2
16,62,18,91140.71277827997,0.8286734767354081,84.91961989036805,128.8922651467006,1.744011505092675,2.0712331876248093,0,0,2,0,2
17,61,18,92190.45881019489,0.8382180223883741,86.77221035031454,130.29789306801206,1.7438421534256043,2.0712331876248093,0,0,1,0,1
18,62,18,93194.69105454026,0.8473487456404069,85.59310841095679,131.54865450122804,1.7493658750349732,2.0712331876248093,2,0,1,0,1
19,63,18,94144.53504124704,0.8559849576561648,85.99383306584888,130.32143959678012,1.7454135244588824,2.0712331876248093,1,0,0,0,0
20,63,18,95040.38661358261,0.8641302575386901,88.00294471191656,129.10888975737737,1.7454135244588824,2.0712331876248093,0,0,0,0,0
21,63,18,95887.52212379428,0.8718326191629721,90.01776669548967,127.86563785392269,1.7454135244588824,2.0712331876248093,0,0,0,0,0
22,64,18,96687.77692898577,0.8791087300411644,90.39231080422663,126.6098767234913,1.7426485906347662,2.0712331876248093,1,0,0,0,0
23,63,18,97437.76921271537,0.8859278418775495,92.3688829018873,127.80129701530616,1.7422887949565116,2.0712331876248093,0,0,1,0,1
24,61,18,98146.39728965933,0.8923708603084237,94.41136005258691,131.93097292442832,1.7409648065596948,2.0712331876248093,0,0,2,0,2
25,61,18,98819.52090463982,0.8984910635556329,96.43502885533375,130.70371112656701,1.7409648065596948,2.0712331876248093,0,0,0,0,0
26,61,18,99449.42737970395,0.9042183260796751,98.46441038033564,129.44794999613558,1.7409648065596948,2.0712331876248093,0,0,0,0,0
27,60,18,100038.198004659,0.9095715714725229,100.40561258755126,131.1301981822037,1.7394506501063824,2.0712331876248093,0,0,1,0,1
28,62,18,100591.54453138077,0.9146027323682413,98.70955107743129,129.8994428362268,1.741573253107077,2.0712331876248093,2,0,0,0,0
29,62,19,101096.42673513063,0.9191932438791732,100.74777609735212,120.93613556380042,1.741573253107077,2.077026064876225,0,1,0,0,0
30,62,19,101565.52449732689,0.9234583945640668,100.8543346100132,122.31385657487328,1.7431055288670667,2.077026064876225,1,0,1,0,1
31,64,19,102000.35172488613,0.9274119492319716,99.28180938225879,121.06497035662267,1.7440131290836343,2.077026064876225,2,0,0,0,0
32,62,19,102394.32248350602,0.9309940269700715,102.24713407713958,125.22959788251721,1.7409878480100138,2.077026064876225,0,0,2,0,2
33,63,19,102776.24536984836,0.9344665625298937,100.10138034420712,124.0059611321057,1.738156871312868,2.077026064876225,2,0,1,0,0
34,63,19,103117.63051563653,0.9375705191157316,102.15423837104447,122.74347416738665,1.738156871312868,2.077026064876225,0,0,0,0,0
35,64,19,103433.06834946758,0.9404385564448949,102.37553025866619,121.48098720266759,1.7387167139850244,2.077026064876225,1,0,0,0,0
36,65,19,103721.63439924736,0.9430622689927718,102.59883321740641,120.2578231162955,1.7385457430551947,2.077026064876225,1,0,0,0,0
37,65,19,103984.12568638645,0.9454489034714321,104.61341206894295,118.99533615157644,1.7385457430551947,2.077026064876225,0,0,0,0,0
38,65,19,104226.48719413203,0.9476525131111652,106.61706906417396,117.73284918685738,1.7385457430551947,2.077026064876225,0,0,0,0,0
39,65,19,104449.63568467417,0.9496814333362643,108.61079741949145,116.4824165434848,1.7385457430551947,2.077026064876225,0,0,0,0,0
40,67,19,104652.39546586595,0.9515249744684371,106.929953071867,115.21992957876577,1.7370171914609773,2.077026064876225,2,0,0,0,0
41,67,19,104830.00902490588,0.9531398800468369,107.38275996731336,116.6723002102609,1.7343578672181057,2.077026064876225,1,0,1,0,1
42,70,19,104995.22369170401,0.9546420518882657,104.13363796843781,115.40981324554184,1.7350445808540427,2.077026064876225,3,0,0,0,0
43,69,19,105134.6900830594,0.9559101141613068,105.62007223674594,116.84757644599257,1.7354179178521587,2.077026064876225,0,0,1,0,1
44,69,19,105266.62267890984,0.9571096773374702,107.5974566176616,115.59742536623173,1.7354179178521587,2.077026064876225,0,0,0,0,0
45,72,19,105386.16178784551,0.9581965559232078,104.47474896199303,114.36017932831362,1.7350464756118587,2.077026064876225,3,0,0,0,0
46,71,19,105482.1832441713,0.9590696063046358,106.82748506593936,115.62740695269868,1.7336436276903089,2.077026064876225,0,0,1,0,1
47,71,19,105573.72544443741,0.9599019302030353,108.81254932349006,114.3767708345892,1.7336436276903089,2.077026064876225,0,0,0,0,0
48,70,19,105657.75927385734,0.9606659861717242,110.61516667124558,115.82797796525266,1.7351354847765534,2.077026064876225,0,0,1,0,1
49,71,19,105738.41158110439,0.9613992965202588,110.11218060974804,117.11646902635316,1.7386703413676468,2.077026064876225,2,0,1,0,1
50,71,20,105806.05978469565,0.9620143704027865,109.49923737990576,111.72030768186457,1.7388943937971146,2.0743102343894355,1,1,1,0,1
51,71,20,105867.24580281012,0.9625706885268488,109.86367468177332,112.85900597194605,1.7430346380404949,2.0743102343894355,1,0,1,0,1
52,72,20,105921.45475119133,0.9630635694398444,110.10374243259496,111.63609000887448,1.7416001291999927,2.0743102343894355,1,0,0,0,0
53,71,20,105964.92829904465,0.963458841486194,112.1099739393433,112.93094118995165,1.741119740618222,2.0743102343894355,0,0,1,0,1
54,72,19,106007.30171682427,0.9638441108829565,112.331753588901,117.58246446677587,1.7384175005638063,2.068679306967737,1,0,0,1,0
55,72,20,106044.20472856001,0.9641796420205225,111.18341344086558,109.64056333896447,1.7390785305265544,2.0578087427793768,1,1,1,0,0
56,76,19,106074.05161109181,0.9644510171191297,106.51391721745173,114.14519302634919,1.7344138641802103,2.0583736558182077,4,0,0,1,0
57,74,19,106091.1501989598,0.9646064816291595,106.68686383046105,115.54882998338924,1.7340844514539562,2.0583736558182077,0,0,2,0,1
58,74,19,106103.43791785184,0.9647182045510571,107.77554649229674,117.01133509413299,1.732379228478397,2.0583736558182077,1,0,1,0,1
59,75,19,106114.22074093492,0.9648162445950823,106.93673899037206,118.13657892238045,1.7341253690842864,2.0583736558182077,2,0,1,0,1
60,75,19,106117.83484461275,0.9648491049027175,108.90099229444697,116.92380197881116,1.7341253690842864,2.0583736558182077,0,0,0,0,0
61,77,19,106118.50604471439,0.9648552076169147,107.65236794454533,115.699591981518,1.7365971023010425,2.0583736558182077,2,0,0,0,0
62,78,19,106107.68084174379,0.9647567822446681,108.05433704480063,114.47264434768036,1.735819123618911,2.0583736558182077,1,0,0,0,0
63,79,19,106093.94624022717,0.9646319039148482,107.01030734863558,115.81236226204982,1.7340757471889419,2.0583736558182077,2,0,1,0,1
64,79,19,106073.86585433534,0.9644493281736243,107.92532243472105,117.19981290933481,1.7363450781471996,2.0583736558182077,1,0,1,0,1
65,78,19,106055.87404742175,0.9642857422992839,109.24013923961213,118.61540516115289,1.7371612451808183,2.0583736558182077,0,0,1,0,1
66,79,19,106040.91836487083,0.9641497616043933,109.62244312524932,117.37766010672685,1.7405834081287657,2.0583736558182077,1,0,0,0,0
67,80,19,106019.91355427085,0.9639587807694024,107.94860956960088,118.60757140541217,1.744820884035726,2.0583736558182077,2,0,1,0,1
68,80,19,105997.85041502786,0.9637581773535759,109.87881588967494,117.36982635098612,1.744820884035726,2.0583736558182077,0,0,0,0,0
69,81,20,105971.18710605559,0.9635157480782961,109.44299079192882,111.6703166702719,1.7470641616454603,2.046688476107109,2,1,1,0,1
70,83,20,105940.29807416591,0.9632348975048397,108.40060597955797,110.44463641426356,1.7463129229343364,2.046688476107109,2,0,0,0,0
